motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.251,0.050,0.034
2.495,0.100,0.067
3.734,0.150,0.101
4.967,0.200,0.134
6.194,0.250,0.168
7.416,0.300,0.201
8.631,0.350,0.235
9.840,0.400,0.268
11.044,0.450,0.302
12.241,0.500,0.335
13.433,0.550,0.369
14.619,0.600,0.402
15.799,0.650,0.436
16.973,0.700,0.469
18.142,0.750,0.503
19.304,0.800,0.536
20.461,0.850,0.570
21.611,0.900,0.603
22.756,0.950,0.637
23.895,1.000,0.670
25.028,1.050,0.704
26.155,1.100,0.737
27.277,1.150,0.771
28.392,1.200,0.804
29.502,1.250,0.838
30.606,1.300,0.871
31.704,1.350,0.905
32.796,1.400,0.938
33.883,1.450,0.972
34.963,1.500,1.005
36.038,1.550,1.039
37.107,1.600,1.072
38.170,1.650,1.106
39.227,1.700,1.139
40.279,1.750,1.173
41.324,1.800,1.206
42.364,1.850,1.240
43.398,1.900,1.273
44.427,1.950,1.307
45.449,2.000,1.340
46.466,2.050,1.374
47.477,2.100,1.407
48.482,2.150,1.441
49.482,2.200,1.474
50.475,2.250,1.508
51.463,2.300,1.541
52.445,2.350,1.575
53.422,2.400,1.608
54.392,2.450,1.641
55.357,2.500,1.675
56.316,2.550,1.709
57.270,2.600,1.742
58.218,2.650,1.776
59.160,2.700,1.809
60.096,2.750,1.843
61.027,2.800,1.876
61.952,2.850,1.910
62.871,2.900,1.943
63.784,2.950,1.976
64.692,3.000,2.010
