motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.095,0.050,0.034
2.184,0.100,0.067
3.266,0.150,0.101
4.343,0.200,0.134
5.413,0.250,0.168
6.476,0.300,0.201
7.534,0.350,0.235
8.585,0.400,0.268
9.630,0.450,0.302
10.669,0.500,0.335
11.702,0.550,0.369
12.728,0.600,0.402
13.748,0.650,0.436
14.762,0.700,0.469
15.769,0.750,0.503
16.770,0.800,0.536
17.766,0.850,0.570
18.754,0.900,0.603
19.737,0.950,0.637
20.713,1.000,0.670
21.684,1.050,0.704
22.647,1.100,0.737
23.605,1.150,0.771
24.557,1.200,0.804
25.502,1.250,0.838
26.441,1.300,0.871
27.374,1.350,0.905
28.301,1.400,0.938
29.221,1.450,0.972
30.135,1.500,1.005
31.044,1.550,1.039
31.946,1.600,1.072
32.841,1.650,1.106
33.731,1.700,1.139
34.614,1.750,1.173
35.491,1.800,1.206
36.362,1.850,1.240
37.227,1.900,1.273
38.086,1.950,1.307
38.939,2.000,1.340
39.785,2.050,1.374
40.625,2.100,1.407
41.460,2.150,1.441
42.288,2.200,1.474
43.109,2.250,1.508
43.925,2.300,1.541
44.735,2.350,1.575
45.538,2.400,1.608
46.336,2.450,1.641
47.127,2.500,1.675
47.912,2.550,1.709
48.691,2.600,1.742
49.464,2.650,1.776
50.231,2.700,1.809
50.992,2.750,1.843
51.747,2.800,1.876
52.496,2.850,1.910
53.239,2.900,1.943
53.975,2.950,1.976
54.706,3.000,2.010
