motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.328,0.050,0.034
2.650,0.100,0.067
3.966,0.150,0.101
5.277,0.200,0.134
6.581,0.250,0.168
7.880,0.300,0.201
9.172,0.350,0.235
10.459,0.400,0.268
11.740,0.450,0.302
13.015,0.500,0.335
14.284,0.550,0.369
15.547,0.600,0.402
16.804,0.650,0.436
18.056,0.700,0.469
19.301,0.750,0.503
20.541,0.800,0.536
21.774,0.850,0.570
23.002,0.900,0.603
24.224,0.950,0.637
25.440,1.000,0.670
26.651,1.050,0.704
27.855,1.100,0.737
29.054,1.150,0.771
30.246,1.200,0.804
31.433,1.250,0.838
32.614,1.300,0.871
33.789,1.350,0.905
34.958,1.400,0.938
36.122,1.450,0.972
37.279,1.500,1.005
38.431,1.550,1.039
39.577,1.600,1.072
40.717,1.650,1.106
41.851,1.700,1.139
42.980,1.750,1.173
44.103,1.800,1.206
45.219,1.850,1.240
46.330,1.900,1.273
47.436,1.950,1.307
48.535,2.000,1.340
49.629,2.050,1.374
50.716,2.100,1.407
51.798,2.150,1.441
52.875,2.200,1.474
53.945,2.250,1.508
55.010,2.300,1.541
56.069,2.350,1.575
57.122,2.400,1.608
58.169,2.450,1.641
59.211,2.500,1.675
60.247,2.550,1.709
61.277,2.600,1.742
62.302,2.650,1.776
63.320,2.700,1.809
64.333,2.750,1.843
65.341,2.800,1.876
66.342,2.850,1.910
67.338,2.900,1.943
68.328,2.950,1.976
69.313,3.000,2.010
