motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.251,0.050,0.034
2.495,0.100,0.067
3.734,0.150,0.101
4.967,0.200,0.134
6.194,0.250,0.168
7.415,0.300,0.201
8.630,0.350,0.235
9.839,0.400,0.268
11.043,0.450,0.302
12.240,0.500,0.335
13.432,0.550,0.369
14.617,0.600,0.402
15.797,0.650,0.436
16.971,0.700,0.469
18.139,0.750,0.503
19.301,0.800,0.536
20.457,0.850,0.570
21.607,0.900,0.603
22.751,0.950,0.637
23.890,1.000,0.670
25.023,1.050,0.704
26.149,1.100,0.737
27.270,1.150,0.771
28.385,1.200,0.804
29.494,1.250,0.838
30.597,1.300,0.871
31.695,1.350,0.905
32.786,1.400,0.938
33.872,1.450,0.972
34.952,1.500,1.005
36.026,1.550,1.039
37.094,1.600,1.072
38.156,1.650,1.106
39.213,1.700,1.139
40.263,1.750,1.173
41.308,1.800,1.206
42.347,1.850,1.240
43.380,1.900,1.273
44.408,1.950,1.307
45.429,2.000,1.340
46.445,2.050,1.374
47.455,2.100,1.407
48.459,2.150,1.441
49.457,2.200,1.474
50.450,2.250,1.508
51.436,2.300,1.541
52.417,2.350,1.575
53.393,2.400,1.608
54.362,2.450,1.641
55.326,2.500,1.675
56.284,2.550,1.709
57.236,2.600,1.742
58.182,2.650,1.776
59.123,2.700,1.809
60.058,2.750,1.843
60.987,2.800,1.876
61.910,2.850,1.910
62.828,2.900,1.943
63.740,2.950,1.976
64.647,3.000,2.010
