motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.405,0.050,0.034
2.805,0.100,0.067
4.198,0.150,0.101
5.586,0.200,0.134
6.967,0.250,0.168
8.343,0.300,0.201
9.713,0.350,0.235
11.077,0.400,0.268
12.436,0.450,0.302
13.788,0.500,0.335
15.135,0.550,0.369
16.476,0.600,0.402
17.811,0.650,0.436
19.140,0.700,0.469
20.463,0.750,0.503
21.780,0.800,0.536
23.092,0.850,0.570
24.397,0.900,0.603
25.697,0.950,0.637
26.991,1.000,0.670
28.280,1.050,0.704
29.562,1.100,0.737
30.839,1.150,0.771
32.109,1.200,0.804
33.374,1.250,0.838
34.633,1.300,0.871
35.887,1.350,0.905
37.134,1.400,0.938
38.376,1.450,0.972
39.612,1.500,1.005
40.842,1.550,1.039
42.066,1.600,1.072
43.285,1.650,1.106
44.497,1.700,1.139
45.704,1.750,1.173
46.906,1.800,1.206
48.101,1.850,1.240
49.291,1.900,1.273
50.474,1.950,1.307
51.653,2.000,1.340
52.825,2.050,1.374
53.991,2.100,1.407
55.152,2.150,1.441
56.307,2.200,1.474
57.457,2.250,1.508
58.600,2.300,1.541
59.738,2.350,1.575
60.870,2.400,1.608
61.997,2.450,1.641
63.118,2.500,1.675
64.233,2.550,1.709
65.342,2.600,1.742
66.446,2.650,1.776
67.543,2.700,1.809
68.636,2.750,1.843
69.722,2.800,1.876
70.803,2.850,1.910
71.878,2.900,1.943
72.948,2.950,1.976
74.012,3.000,2.010
