motor_step_angle,spring_displacement,tension
0.000,0.000,0.000
1.098,0.050,0.034
2.189,0.100,0.067
3.274,0.150,0.101
4.352,0.200,0.134
5.424,0.250,0.168
6.490,0.300,0.201
7.549,0.350,0.235
8.602,0.400,0.268
9.649,0.450,0.302
10.690,0.500,0.335
11.724,0.550,0.369
12.751,0.600,0.402
13.773,0.650,0.436
14.788,0.700,0.469
15.797,0.750,0.503
16.799,0.800,0.536
17.795,0.850,0.570
18.785,0.900,0.603
19.768,0.950,0.637
20.746,1.000,0.670
21.716,1.050,0.704
22.681,1.100,0.737
23.639,1.150,0.771
24.591,1.200,0.804
25.537,1.250,0.838
26.476,1.300,0.871
27.409,1.350,0.905
28.336,1.400,0.938
29.257,1.450,0.972
30.171,1.500,1.005
31.079,1.550,1.039
31.980,1.600,1.072
32.876,1.650,1.106
33.765,1.700,1.139
34.648,1.750,1.173
35.524,1.800,1.206
36.395,1.850,1.240
37.259,1.900,1.273
38.117,1.950,1.307
38.968,2.000,1.340
39.814,2.050,1.374
40.653,2.100,1.407
41.486,2.150,1.441
42.313,2.200,1.474
43.133,2.250,1.508
43.948,2.300,1.541
44.756,2.350,1.575
45.558,2.400,1.608
46.353,2.450,1.641
47.143,2.500,1.675
47.926,2.550,1.709
48.704,2.600,1.742
49.475,2.650,1.776
50.240,2.700,1.809
50.998,2.750,1.843
51.751,2.800,1.876
52.497,2.850,1.910
53.238,2.900,1.943
53.972,2.950,1.976
54.700,3.000,2.010
