motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
0.983,0.050,0.034
1.959,0.100,0.067
2.928,0.150,0.101
3.891,0.200,0.134
4.847,0.250,0.168
5.796,0.300,0.201
6.738,0.350,0.234
7.674,0.400,0.268
8.603,0.450,0.302
9.526,0.500,0.335
10.441,0.550,0.369
11.350,0.600,0.402
12.252,0.650,0.436
13.148,0.700,0.469
14.037,0.750,0.503
14.919,0.800,0.536
15.795,0.850,0.570
16.663,0.900,0.603
17.526,0.950,0.636
18.381,1.000,0.670
19.230,1.050,0.704
20.072,1.100,0.737
20.907,1.150,0.770
21.736,1.200,0.804
22.558,1.250,0.838
23.374,1.300,0.871
24.182,1.350,0.905
24.985,1.400,0.938
25.780,1.450,0.972
26.569,1.500,1.005
27.351,1.550,1.039
28.127,1.600,1.072
28.896,1.650,1.105
29.658,1.700,1.139
30.413,1.750,1.173
31.162,1.800,1.206
31.905,1.850,1.240
32.641,1.900,1.273
33.370,1.950,1.307
34.092,2.000,1.340
34.808,2.050,1.374
35.518,2.100,1.407
36.220,2.150,1.441
36.916,2.200,1.474
37.606,2.250,1.508
38.289,2.300,1.541
38.965,2.350,1.575
39.635,2.400,1.608
40.299,2.450,1.641
40.955,2.500,1.675
41.605,2.550,1.709
42.249,2.600,1.742
42.886,2.650,1.776
43.516,2.700,1.809
44.140,2.750,1.843
44.758,2.800,1.876
45.369,2.850,1.910
45.973,2.900,1.943
46.571,2.950,1.976
47.162,3.000,2.010
47.747,3.050,2.044
48.326,3.100,2.077
48.898,3.150,2.111
49.463,3.200,2.144
50.022,3.250,2.178
50.575,3.300,2.211
51.121,3.350,2.245
51.660,3.400,2.278
52.193,3.450,2.312
52.720,3.500,2.345
