motor_step_angle,spring_displacement,tension
0.000,0.000,0.000
1.713,0.050,0.097
3.420,0.100,0.195
5.121,0.150,0.294
6.816,0.200,0.393
8.504,0.250,0.494
10.186,0.300,0.595
11.862,0.350,0.697
13.532,0.400,0.800
15.195,0.450,0.903
16.852,0.500,1.008
18.503,0.550,1.113
20.148,0.600,1.219
21.786,0.650,1.326
23.418,0.700,1.434
25.044,0.750,1.543
26.664,0.800,1.653
28.278,0.850,1.764
29.885,0.900,1.875
31.486,0.950,1.988
33.081,1.000,2.101
34.670,1.050,2.216
36.253,1.100,2.331
37.829,1.150,2.448
39.399,1.200,2.565
40.963,1.250,2.683
42.521,1.300,2.803
44.072,1.350,2.923
45.617,1.400,3.045
47.157,1.450,3.167
48.689,1.500,3.291
50.216,1.550,3.416
51.737,1.600,3.541
53.251,1.650,3.668
54.759,1.700,3.796
56.262,1.750,3.926
57.757,1.800,4.056
59.247,1.850,4.187
60.731,1.900,4.320
62.208,1.950,4.454
63.679,2.000,4.589
65.145,2.050,4.725
66.604,2.100,4.863
68.056,2.150,5.002
69.503,2.200,5.142
70.944,2.250,5.283
72.378,2.300,5.426
73.806,2.350,5.570
75.229,2.400,5.715
76.645,2.450,5.862
78.055,2.500,6.010
79.459,2.550,6.159
80.857,2.600,6.310
82.248,2.650,6.463
83.634,2.700,6.616
85.013,2.750,6.771
86.387,2.800,6.928
87.754,2.850,7.086
89.116,2.900,7.246
90.471,2.950,7.407
91.820,3.000,7.570
